Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,x,eo,xp,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD,T,WGi
MC,MC10X6.5,MC10X6.5,F,6.5,1.95,10,10,1.17,1  1/8 ,0.152,  1/8 ,  1/16,0.202,  3/16,0.563,  9/16,0.194,0.182,0.0975,5.79,59.8,22.9,5.9,4.59,3.43,0.133,0.284,0.137,0.262,0.0191,2.76,4.1,0.346,0.313,0.158,1.01,2.91,3.46,0.988,0.363,9.8,22.6,23.8,21.2,22.3,8  7/8 ,–
MC,MC9X25.4,MC9X25.4,F,25.4,7.47,9,9,3.5,3  1/2 ,0.45,  7/16,  1/4 ,0.55,  9/16,1.25,1  1/4 ,0.97,0.986,0.415,6.36,15.1,87.9,23.5,19.5,3.43,7.57,5.7,2.99,1.01,0.691,104,8.72,4.95,3.25,1.61,7.09,11.6,4.08,0.77,1.2,8.45,27.2,30.7,21.5,25,6  1/2 ,2
MC,MC9X23.9,MC9X23.9,F,23.9,7.02,9,9,3.45,3  1/2 ,0.4,  3/8 ,  3/16,0.55,  9/16,1.25,1  1/4 ,0.981,1.04,0.39,6.27,17,84.9,22.5,18.9,3.48,7.14,5.51,2.89,1.01,0.599,98,8.49,4.69,2.91,1.52,7.09,11.1,4.15,0.763,1.18,8.45,27,30.5,21.5,24.9,6  1/2 ,2
MC,MC8X22.8,MC8X22.8,F,22.8,6.7,8,8,3.5,3  1/2 ,0.427,  7/16,  1/4 ,0.525,  1/2 ,1.19,1  3/16,1.01,1.04,0.419,6.67,13.8,63.8,19.1,15.9,3.09,7.01,5.37,2.81,1.02,0.572,75.2,7.6,4.06,2.52,1.22,6.03,9.45,3.84,0.715,1.2,7.48,25.2,28.7,19.5,23,5  5/8 ,2
MC,MC8X21.4,MC8X21.4,F,21.4,6.28,8,8,3.45,3  1/2 ,0.375,  3/8 ,  3/16,0.525,  1/2 ,1.19,1  3/16,1.02,1.09,0.452,6.57,15.7,61.5,18.2,15.4,3.13,6.58,5.18,2.71,1.02,0.495,70.8,7.42,3.87,2.27,1.08,6.03,9.03,3.91,0.707,1.18,7.48,25.1,28.5,19.5,22.9,5  5/8 ,2
MC,MC8X20,MC8X20,F,20,5.87,8,8,3.03,3,0.4,  3/8 ,  3/16,0.5,  1/2 ,1.13,1  1/8 ,0.84,0.843,0.367,6.06,15,54.4,16.4,13.6,3.04,4.42,3.86,2.02,0.867,0.441,47.8,6.7,2.99,1.97,0.963,4.93,8.13,3.58,0.779,1.03,7.5,23.9,27,19,22.1,5  3/4 ,2
MC,MC8X18.7,MC8X18.7,F,18.7,5.5,8,8,2.98,3,0.353,  3/8 ,  3/16,0.5,  1/2 ,1.13,1  1/8 ,0.849,0.889,0.344,5.96,17,52.4,15.6,13.1,3.09,4.15,3.72,1.95,0.868,0.38,45,6.52,2.83,1.77,0.875,4.93,7.75,3.65,0.773,1.02,7.5,23.8,26.8,19,22,5  3/4 ,2
MC,MC8X8.5,MC8X8.5,F,8.5,2.5,8,8,1.87,1  7/8 ,0.179,  3/16,  1/8 ,0.311,  5/16,0.813, 13/16,0.428,0.542,0.156,6.01,38.4,23.3,6.95,5.82,3.05,0.624,0.875,0.431,0.5,0.0587,8.21,4.42,0.789,0.551,0.285,2.02,3.45,3.24,0.91,0.624,7.69,20.8,22.7,17.9,19.7,6  3/8 ,1  1/8 
MC,MC7X22.7,MC7X22.7,F,22.7,6.67,7,7,3.6,3  5/8 ,0.503,  1/2 ,  1/4 ,0.5,  1/2 ,1.13,1  1/8 ,1.04,1.01,0.477,7.2,9.94,47.4,16.4,13.5,2.67,7.24,5.38,2.83,1.04,0.625,58.3,6.78,3.54,2.25,1.1,5.03,8.11,3.53,0.659,1.23,6.5,23.5,27.1,17.6,21.2,4  3/4 ,2
MC,MC7X19.1,MC7X19.1,F,19.1,5.61,7,7,3.45,3  1/2 ,0.352,  3/8 ,  3/16,0.5,  1/2 ,1.13,1  1/8 ,1.08,1.15,0.579,6.9,14.2,43.1,14.5,12.3,2.77,6.06,4.85,2.55,1.04,0.407,49.3,6.33,3.08,1.65,0.815,5.03,7.19,3.7,0.638,1.19,6.5,23.1,26.5,17.5,20.9,4  3/4 ,2
MC,MC6X18,MC6X18,F,18,5.29,6,6,3.5,3  1/2 ,0.379,  3/8 ,  3/16,0.475,  1/2 ,1.06,1  1/16,1.12,1.17,0.644,7.37,10.8,29.7,11.7,9.89,2.37,5.88,4.68,2.47,1.05,0.379,34.6,5.39,2.5,1.28,0.682,4.1,5.8,3.46,0.563,1.2,5.53,21.2,24.7,15.5,19,3  7/8 ,2
MC,MC6X15.3,MC6X15.3,F,15.3,4.49,6,6,3.5,3  1/2 ,0.34,  5/16,  3/16,0.385,  3/8 ,0.875,  7/8 ,1.05,1.16,0.511,9.09,13.1,25.3,9.91,8.44,2.38,4.91,3.85,2.01,1.05,0.223,30,5.62,2.16,1.21,0.575,3.42,4.95,3.41,0.579,1.2,5.62,21.3,24.8,15.5,19,4  1/4 ,2
MC,MC6X16.3,MC6X16.3,F,16.3,4.79,6,6,3,3,0.375,  3/8 ,  3/16,0.475,  1/2 ,1.06,1  1/16,0.927,0.93,0.465,6.32,10.9,26,10.4,8.66,2.33,3.77,3.47,1.82,0.887,0.336,22.1,4.68,1.88,1.06,0.536,3.44,5.13,3.11,0.643,1.03,5.53,19.9,22.9,15,18,3  7/8 ,1  3/4 
MC,MC6X15.1,MC6X15.1,F,15.1,4.44,6,6,2.94,3,0.316,  5/16,  3/16,0.475,  1/2 ,1.06,1  1/16,0.94,0.982,0.543,6.19,12.9,24.9,9.83,8.3,2.37,3.46,3.3,1.73,0.883,0.285,20.5,4.54,1.77,0.915,0.457,3.44,4.87,3.18,0.634,1.01,5.53,19.7,22.6,14.9,17.9,3  7/8 ,1  3/4 
MC,MC6X12,MC6X12,F,12,3.53,6,6,2.5,2  1/2 ,0.31,  5/16,  3/16,0.375,  3/8 ,0.875,  7/8 ,0.704,0.725,0.294,6.67,14.5,18.7,7.47,6.24,2.3,1.85,1.97,1.03,0.724,0.155,11.3,4.12,1.13,0.723,0.354,2.31,3.7,2.8,0.74,0.856,5.63,18.6,21.1,14.5,17,4  1/4 ,1  1/2 
MC,MC6X7,MC6X7,F,7,2.09,6,6,1.88,1  7/8 ,0.179,  3/16,  1/8 ,0.291,  5/16,0.75,  3/4 ,0.501,0.583,0.174,6.46,26,11.4,4.5,3.81,2.34,0.603,0.865,0.439,0.537,0.0464,4,3.19,0.519,0.331,0.16,1.41,2.22,2.63,0.83,0.638,5.71,16.3,18.2,13.9,15.8,4  1/2 ,–
MC,MC6X6.5,MC6X6.5,F,6.5,1.95,6,6,1.85,1  7/8 ,0.155,  1/8 ,  1/16,0.291,  5/16,0.75,  3/4 ,0.513,0.612,0.191,6.36,30.1,11,4.28,3.66,2.38,0.565,0.836,0.422,0.539,0.0412,3.75,3.09,0.487,0.29,0.146,1.41,2.11,2.68,0.824,0.631,5.71,16.3,18.1,13.9,15.7,4  1/2 ,–
MC,MC4X13.8,MC4X13.8,F,13.8,4.03,4,4,2.5,2  1/2 ,0.5,  1/2 ,  1/4 ,0.5,  1/2 ,1,1,0.849,0.643,0.508,5,4.48,8.85,5.53,4.43,1.48,2.13,2.4,1.29,0.727,0.373,4.84,2.37,0.806,0.457,0.227,1.75,2.75,2.23,0.55,0.851,3.5,13.3,15.8,10.5,13,2,–
MC,MC3X7.1,MC3X7.1,F,7.1,2.11,3,3,1.94,2,0.312,  5/16,  3/16,0.351,  3/8 ,0.813, 13/16,0.653,0.574,0.414,5.53,4.93,2.72,2.24,1.81,1.14,0.666,0.998,0.518,0.562,0.0928,0.915,1.4,0.258,0.134,0.0659,0.757,1.11,1.76,0.516,0.657,2.65,10.2,12.2,7.94,9.88,1  3/8 ,–
