Name,Type,d,b,t,W,A,Ix,Sx,Zx,rx,Iy,Sy,Zy,ry,J
RT 1 x 1 x 0.065,Aluminum,1.000,1.000,0.065,0.286,0.243,0.0356,0.0712,0.0854,0.383,0.0356,0.0712,0.0854,0.383,0.0531
RT 1 x 1 x 0.0 95,Aluminum,1.000,1.000,0.095,0.404,0.344,0.0475,0.0949,0.117,0.371,0.0475,0.0949,0.117,0.371,0.0704
RT 1 x 1 x 0.125,Aluminum,1.000,1.000,0.125,0.515,0.438,0.0570,0.114,0.145,0.361,0.0570,0.114,0.145,0.361,0.0837
RT 1.25 x 1.25 x 0.065,Aluminum,1.250,1.250,0.065,0.362,0.308,0.0723,0.116,0.137,0.485,0.0723,0.116,0.137,0.485,0.108
RT 1.25 x 1.25 x  0.095,Aluminum,1.250,1.250,0.095,0.516,0.439,0.0982,0.157,0.191,0.473,0.0982,0.157,0.191,0.473,0.146
RT 1.25 x 1.25 x 0.125,Aluminum,1.250,1.250,0.125,0.662,0.563,0.120,0.192,0.238,0.462,0.120,0.192,0.238,0.462,0.178
RT 1.375 x 1.375 x 0.125,Aluminum,1.375,1.375,0.125,0.735,0.625,0.164,0.239,0.294,0.513,0.164,0.239,0.294,0.513,0.244
RT 1.5 x 1.5 x 0.065,Aluminum,1.500,1.500,0.065,0.439,0.373,0.128,0.171,0.201,0.586,0.128,0.171,0.201,0.586,0.192
RT 1.5 x 1.5 x 0.078,Aluminum,1.500,1.500,0.078,0.522,0.444,0.150,0.200,0.237,0.581,0.150,0.200,0.237,0.581,0.224
RT 1.5 x 1.5 x 0.095,Aluminum,1.500,1.500,0.095,0.628,0.534,0.176,0.235,0.282,0.575,0.176,0.235,0.282,0.575,0.263
RT 1.5 x 1.5 x 0.125,Aluminum,1.500,1.500,0.125,0.809,0.688,0.218,0.291,0.355,0.564,0.218,0.291,0.355,0.564,0.325
RT 1.5 x 1.5 x 0.25,Aluminum,1.500,1.500,0.250,1.47,1.25,0.339,0.451,0.594,0.520,0.339,0.451,0.594,0.520,0.488
RT 1.75 x 1.75 x 0.125,Aluminum,1.750,1.750,0.125,0.956,0.813,0.360,0.411,0.496,0.665,0.360,0.411,0.496,0.665,0.536
